time,Node_2.Analog_channel_0,Node_2.Analog_channel_1,Node_2.Analog_channel_2,Node_2.Analog_channel_3,Node_2.Analog_channel_4,Node_2.Analog_channel_5,Node_2.Analog_channel_6,Node_2.Analog_channel_7,Node_2.Environmental_sensor_temperature,Node_2.Environmental_sensor_humidity,Node_2.Environmental_sensor_CO2,Node_2.Module_uptime,Node_2.Module_error_code,Node_3.Analog_channel_4,Node_3.Analog_channel_6,Node_3.Analog_channel_10,Node_3.Analog_channel_11,Node_3.Environmental_sensor_temperature,Node_3.Environmental_sensor_humidity,Node_3.Environmental_sensor_CO2,Node_3.Module_uptime,Node_3.Module_error_code,Node_4.Analog_channel_0,Node_4.Analog_channel_1,Node_4.Analog_channel_2,Node_4.Environmental_sensor_temperature,Node_4.Environmental_sensor_humidity,Node_4.Environmental_sensor_CO2,Node_4.Module_uptime,Node_4.Module_error_code
1659725069, 21.255213, 21.306635, 21.280176, 21.439234, 21.553431, 21.305140, 21.397577, 21.304193, 0.000000, 0.000000, 0.000000, 337623, 0, 22.008875, 21.788721, 0.000387, 0.076918, 23.197529, 58.574806, 0.000000, 337622, 0, 21.554071, 21.565638, 22.140162, 24.965286, 48.416138, 217.388016, 337623, 0,
1659725072, 21.254755, 21.305994, 21.278009, 21.443842, 21.553278, 21.306360, 21.399439, 21.304468, 0.000000, 0.000000, 0.000000, 337626, 0, 22.009577, 21.789118, 0.000396, 0.076317, 23.181505, 57.627224, 0.000000, 337625, 0, 21.556665, 21.567743, 22.140772, 24.994659, 48.432922, 216.502838, 337626, 0,
1659725075, 21.254358, 21.305140, 21.276484, 21.445978, 21.553064, 21.307764, 21.400293, 21.304956, 0.000000, 0.000000, 0.000000, 337629, 0, 22.009790, 21.790033, 0.000436, 0.076858, 23.168154, 56.949722, 0.000000, 337628, 0, 21.558344, 21.569269, 22.141230, 24.965286, 48.428345, 212.479996, 337629, 0,
1659725078, 21.252466, 21.303888, 21.274683, 21.444910, 21.551264, 21.306513, 21.400324, 21.304712, 0.000000, 0.000000, 0.000000, 337632, 0, 22.009027, 21.790033, 0.000412, 0.076739, 23.197529, 56.455330, 0.000000, 337631, 0, 21.556940, 21.567560, 22.141687, 24.965286, 48.428345, 208.899933, 337632, 0,
1659725081, 21.251856, 21.305353, 21.275507, 21.446589, 21.551722, 21.307581, 21.401667, 21.306177, 0.000000, 0.000000, 0.000000, 337635, 0, 22.009119, 21.789759, 0.000416, 0.076911, 23.168154, 56.112000, 0.000000, 337634, 0, 21.554377, 21.566401, 22.141260, 24.978638, 48.429871, 209.372345, 337635, 0,
1659725084, 21.251856, 21.305994, 21.274500, 21.446100, 21.551203, 21.307001, 21.401850, 21.305750, 0.000000, 0.000000, 0.000000, 337638, 0, 22.009790, 21.789515, 0.000447, 0.076689, 23.210880, 55.858700, 0.000000, 337637, 0, 21.553614, 21.566431, 22.142237, 24.951935, 48.439026, 208.062286, 337638, 0,
1659725087, 21.254389, 21.308466, 21.273523, 21.445856, 21.553583, 21.307428, 21.404016, 21.307123, 0.000000, 0.000000, 0.000000, 337641, 0, 22.010126, 21.789057, 0.000458, 0.076182, 23.197529, 55.713741, 0.000000, 337640, 0, 21.552546, 21.564814, 22.142389, 24.978638, 48.809814, 210.139450, 337641, 0,
1659725090, 21.256495, 21.309565, 21.268335, 21.444239, 21.554651, 21.307398, 21.404749, 21.307062, 0.000000, 0.000000, 0.000000, 337644, 0, 22.011438, 21.789606, 0.000459, 0.075890, 23.197529, 55.571831, 0.000000, 337643, 0, 21.548853, 21.562098, 22.141932, 24.965286, 49.057007, 214.091446, 337644, 0,
1659725093, 21.259089, 21.310999, 21.263056, 21.441889, 21.554743, 21.307856, 21.406061, 21.306635, 0.000000, 0.000000, 0.000000, 337647, 0, 22.012293, 21.790155, 0.000453, 0.075679, 23.181505, 55.484856, 0.000000, 337646, 0, 21.544397, 21.559992, 22.141932, 24.938583, 48.817444, 225.021210, 337647, 0,
1659725096, 21.260828, 21.311060, 21.257410, 21.439905, 21.554987, 21.307001, 21.406977, 21.306147, 0.000000, 0.000000, 0.000000, 337650, 0, 22.013483, 21.791224, 0.000451, 0.075456, 23.210880, 55.498589, 0.000000, 337649, 0, 21.539545, 21.558374, 22.140772, 24.951935, 48.713684, 235.161835, 337650, 0,
